Question no,Question,Answer,Section
49,Wanneer kan mijn kind weer gewoon eten na de operatie?,De dag na de operatie kan uw kind meestal weer gewoon eten.,"Blindedarm kind --- Na de ingreep --- Na de operatie heeft uw kind een infuus. Vooral de eerste dag heeft uw kind pijn in de buik. Uw kind krijgt standaard, tijdens de eerste 48 uur, medicijnen tegen de pijn. Meestal in de vorm van zetpillen. Daarna wordt alleen pijnbestrijding gegeven als het nodig is. Meteen na de operatie krijgt uw kind drinken (water, ranja of appelsap). Als dit goed gaat, krijgt uw kind ook licht verteerbaar voedsel. De dag na de operatie kan uw kind meestal weer gewoon eten. Na enkele dagen beginnen de darmen ‘weer op gang te komen’. Dit kan zorgen voor wat buikpijn. De verpleegkundige controleert de wond regelmatig. Zo gauw uw kind zich daartoe in staat voelt, mag het even uit bed. Zorg in elk geval voor gemakkelijk zittende kleding. Of uw kind de dag na de operatie naar huis mag, ligt aan hoe de operatie is gegaan. Na twee dagen mag uw kind weer onder de douche. Als de wond droog is hoeft er geen nieuwe pleister meer op. Wanneer uw kind een doorgebroken (geperforceerde) blindedarmontsteking had, moet uw kind na de operatie langer blijven. Uw kind krijgt dan een aantal dagen antibiotica per infuus. Hoeveel dagen dit zijn ligt aan de ernst van de ontsteking. Het eten en drinken wordt dan langzaam opgebouwd."
50,Wat kan leiden tot obstipatie bij kinderen met blaasproblemen?,Geïrriteerde billen kunnen er voor zorgen dat kinderen de ontlasting ophouden om pijn te voorkomen wat uiteindelijk tot obstipatie kan leiden.,"Continentiepolikliniek, obstipatie bij kinderen met blaasproblemen --- Lichaamshygiëne --- Als uw kind geïrriteerde billen heeft, kan de ontlasting pijn veroorzaken. Uw kind zal de ontlasting ophouden om de pijn te voorkomen. Ook dit kan tot obstipatie leiden. Zorg er daarom voor dat de irritatie zo snel mogelijk minder wordt. Dit doet u door de huid schoon te houden met water. Gebruik liever geen zeep of geparfumeerde tissues, omdat deze de huid uitdrogen en een droge huid is kwetsbaarder. Verder is het van belang dat uw kind geen broeierige kleding draagt, zoals kleding van nylon."
51,Kan een jongere zelf inzage vragen in zijn medisch dossier?,"Ja, een jongere kan zelf inzage vragen in zijn medisch dossier zonder toestemming van zijn ouders.","Patiëntenrechten kinderen --- Inzage in het medisch dossier  --- Een jongere kan zelf inzage in zijn medisch dossier vragen. Hij heeft daarvoor geen toestemming van zijn ouders nodig. Hij kan ook een kopie van het dossier of een gedeelte daarvan krijgen. De ouders hebben geen recht dit dossier in te zien, tenzij hun kind met inzage door zijn ouders instemt."
52,"Wat zijn de voorbereidingen thuis die gedaan moeten worden voor de schisis, lipsluiting?","Thuis moeten de volgende voorbereidingen gedaan worden voor de schisis, lipsluiting: - De laatste voeding geven volgens afspraak; - De eerste paracetamol zetpil geven aan uw kind volgens afspraak; - Uw kind in bad doen; - Uw kind schone, gemakkelijk zittende kleding aandoen.","Schisis, lipsluiting --- Voorbereidingen thuis --- - Geef volgens afspraak de laatste voeding; 
- Geef uw kind volgens afspraak de eerste paracetamol zetpil; 
- Wilt u uw kind in bad doen; 
- Wilt u uw kind schone, gemakkelijk zittende kleding aandoen."
53,Wat is het medicijn dat vaak is toegediend tijdens de opname van mijn kind?,Het medicijn dat vaak is toegediend tijdens de opname van uw kind is Ventolin.,"Ventolin, afbouwschema na ziekenhuisopname --- Ventolin, afbouwschema na ziekenhuisopname --- Uw kind is opgenomen vanwege een astma aanval. Tijdens deze opname is uw kind verneveld met medicatie. Het medicijn Ventolin is vaak toegediend. In deze folder staat hoe u dit weer af kunt bouwen naar de normale dosering zonder dat de benauwdheid opnieuw toeneemt."
54,Welke soorten problemen kunnen met Video Interactie Begeleiding behandeld worden?,"Video Interactie Begeleiding kan onder andere toegepast worden bij verpleegkundige handelingen, ernstige en/of langdurige ziekten, moeite met eten, spelen of slapen, en zindelijkheidsproblemen.","Video Interactie Begeleiding (VIB) bij kinderen --- Voor wie is Video Interactie Begeleiding bedoeld? --- Video Interactie Begeleiding wordt onder andere toegepast wanneer: 
- U of uw kind verpleegkundige handelingen verricht; 
- Uw kind ernstig en/of langdurig ziek is; 
- Uw kind moeite heeft met eten, spelen of slapen; 
- Uw kind zindelijkheidsproblemen heeft."
55,Kan ik als ouder/verzorger toestemming geven voor het tonen van video-opnamen aan derden?,"Ja, video-opnamen worden alleen met schriftelijke toestemming van ouders/verzorgers aan derden getoond.",Video interactie begeleiding (VIB) op de afdeling geboorte --- Hoe wordt er met privacy omgegaan? --- De video-opnamen worden alleen met schriftelijke toestemming van ouders/verzorgers aan derden getoond. Binnen ZGT blijft zonder toestemming geen enkele video opname bewaard.
56,Hoe kunt u uw medisch dossier inzien op MijnZGT?,"U kunt uw medisch dossier inzien via uw computer, tablet of mobiel op MijnZGT.","(Langdurig) gebroken vliezen --- Check uw dossier op MijnZGT --- MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt."
58,Waar kan ik inloggen op het patiëntenportaal van de polikliniek dermatologie?,U kunt inloggen op het patiëntenportaal van de polikliniek dermatologie door naar zgt.nl te gaan en daar te klikken op MijnZGT. Daar vraagt men u om in te loggen met uw DigiD.,"Patiëntenportaal, polikliniek dermatologie --- Inloggen --- Ga naar zgt.nl en klik daar op MijnZGT. Om in te loggen op het patiëntenportaal vragen we naar uw DigiD. Heeft u nog geen DigiD, dan kunt u via de website digid.nl uw eigen DigiD aanvragen. Met uw persoonlijke DigiD (een gebruikersnaam en wachtwoord) kunt u zich identificeren op websites van de overheid en van organisaties die een overheidstaak uitvoeren. Zo weten deze organisaties dat ze echt met u te maken hebben. Zodra u bent ingelogd in het patiëntenportaal MijnZGT, kunt u via het menu aan de linkerkant van de pagina verschillende acties uitvoeren."
59,"Kan ik mijn gynaecoloog, verloskundige, verpleegkundige of huisarts altijd bereiken als ik vragen heb?","Ja, uw medische professionals staan altijd klaar om uw vragen te beantwoorden.","(Langdurig) gebroken vliezen --- Vragen --- Mocht u na het lezen van deze folder nog vragen hebben, uw gynaecoloog, verloskundige, verpleegkundige of huisarts is altijd bereid ze te beantwoorden."
60,Wie neemt contact op met de deskundige infectiepreventie?,Uw behandelend arts en de verpleegkundigen van de afdeling zullen zo nodig contact opnemen met de deskundige infectiepreventie.,Strikte isolatie --- Vragen --- Heeft u nog vragen over dit onderwerp stel ze gerust aan uw behandelend arts en de verpleegkundigen van de afdeling. Zij nemen zo nodig contact op met de deskundige infectiepreventie.
61,Wat is actigrafie en hoe kan het helpen bij het diagnosticeren van slaapproblemen bij kinderen?,Actigrafie is een onderzoek waarbij de dagelijkse bewegingen van een kind worden gemeten met behulp van een Motionwatch®. Dit kan helpen bij het vaststellen van tijden waarop het kind slaapt en wakker is en kan helpen bij het diagnosticeren van slaapproblemen.,Actigrafie bij kinderen --- Waarom krijgt uw kind dit onderzoek? --- In de leeftijd van 0-18 jaar komen bij ongeveer een derde van de kinderen slaapproblemen voor. Deze problemen kunnen door actigrafie objectief worden vastgelegd. De Motionwatch® moet zeven tot veertien dagen gedragen worden en houdt de dagelijkse bewegingen van uw kind bij. Dit geeft inzicht in welke tijden uw kind slaapt en wakker is en kan helpen bij het stellen van een diagnose.
62,Wat is het doel van een MSLT?,Het doel van een MSLT is het meten van overmatige slaperigheid overdag.,"Polysomnografie met MSLT bij kinderen --- Wat is polysomnografie met aansluitend MSLT? --- Polysomnografie is een onderzoek naar mogelijke problemen tijdens de slaap. Wij zoeken naar de mogelijke oorzaken van stoornissen in het slaappatroon van uw kind. Hierbij kijken we naar het slaappatroon (ook overdag), ademhaling, hartritme en beenbewegingen. Het doel van een MSLT is het meten van overmatige slaperigheid overdag. Wij nemen voor dit onderzoek uw kind een nacht en een dag op, op de afdeling voor slaaponderzoeken (route 3.14) van ZGT locatie Hengelo. In het belang van het onderzoek is het wenselijk dat uw kind slechts door één persoon wordt begeleid."
63,Wat is de functie van de Eerste Hart Hulp (EHH) bij ZGT Almelo?,De Eerste Hart Hulp (EHH) bij ZGT Almelo is bedoeld voor patiënten met een vermoeden van hartklachten.,"Afdelingsfolder Eerste Hart Hulp --- Eerste Hart Hulp (EHH) --- Wanneer er een vermoeden is dat uw klachten worden veroorzaakt door uw hart, wordt u doorverwezen naar de Eerste Hart Hulp. In deze folder leest u meer informatie over de Eerste Hart Hulp en de onderzoeken. ZGT Almelo heeft een eerste harthulp en een hartbewaking."
64,Wat is de functie van een ECG?,Een ECG is een hartfilmpje waarbij de prikkelgeleiding in het hart beoordeeld wordt.,"Fast-Track polikliniek atriumfibrilleren --- Onderzoeken --- De onderzoeken die we bij u op die dag uitvoeren: 
- Een lichamelijk onderzoek door de medisch specialist of verpleegkundig specialist cardiologie. 
- Een ECG: een hartfilmpje waarbij we de prikkelgeleiding in het hart beoordelen. 
- Een hartecho: een geluidsonderzoek van het hart, waarbij we de hartspier, de kleppen en de grote bloedvaten afbeelden en de functie daarvan beoordelen. Van tevoren laat u een bloedonderzoek doen en eventueel een thoraxfoto (beelden van uw longen) wordt gemaakt."
65,Wat is activiteitentherapie?,Activiteitentherapie is een vorm van therapie die helpt om fysiek en mentaal actief te blijven tijdens een ziekenhuisopname.,"Activiteitentherapie --- Activiteitentherapie --- Een ziekenhuisopname is meestal geen prettige tijd. U kunt last hebben van lichamelijke klachten en beperkingen, pijn, problemen met uw geheugen en concentratie en/of verminderde stemming. Het is belangrijk om wel actief te blijven tijdens uw opname. Wanneer u niet actief bent, kan dit ervoor zorgen dat uw lichamelijke of geestelijke gezondheid vermindert en u uw zelfstandigheid (deels) verliest. Het kan er ook voor zorgen dat u opnieuw in het ziekenhuis moet worden opgenomen. Uw zorgprofessional heeft u daarom aangemeld voor activiteitentherapie. Activiteitentherapie helpt u om fysiek en mentaal (geestelijk) actief te blijven door verschillende activiteiten aan te bieden. Voorbeelden hiervan zijn: bewegen, denkopdrachten, muziek, creativiteit en ontspanningsoefeningen. Hierbij kunnen we digitale hulpmiddelen inzetten. Deze activiteiten doet u alleen met een activiteitentherapeut, of in een groep."
66,Wie is de hoofdbehandelaar bij opname op de hartbewaking?,Bij opname op de hartbewaking heeft u een cardioloog als hoofdbehandelaar.,Afdelingsfolder Eerste Hart Hulp --- Hoofdbehandelaar --- Bij opname op de hartbewaking heeft u een cardioloog als hoofdbehandelaar. De hoofdbehandelaar is tijdens uw hele verblijf verantwoordelijk voor de zorg. Op vrijdag wisselt de hoofdbehandelaar. In de avonden en nachten van weekdagen neemt een dienstdoende cardioloog de hoofdbehandelaar waar. De hoofdbehandelaar blijft wel dag en nacht beschikbaar voor overleg. De naam van de hoofdbehandelaar staat op een whiteboard in elke patiëntenkamer.
67,Wat doet de seksuoloog?,"De seksuoloog helpt bij problemen met het vrijen zonder gemeenschap, psychische problemen in verband met seks of problemen in de relatie.","Focale vulvitis --- De seksuoloog --- Bij onvoldoende resultaat van bovenstaande behandeling, problemen met het vrijen zonder gemeenschap, psychische problemen hierdoor of problemen in de relatie, kunt u door uw gynaecoloog worden doorverwezen naar de seksuoloog. Het secretariaat van de polikliniek seksuologie is te bereiken via telefoonnummer 088 708 36 20."
68,Hoe bepaalt een geriater welke klachten bij het normale ouder worden horen?,Dit gebeurt door middel van onderzoek en het vergelijken van de klachten met wat als normaal wordt beschouwd voor ouderen.,"Polikliniek klinische geriatrie --- Wat is klinische geriatrie? --- Klinische geriatrie is het medisch specialisme voor de (kwetsbare) oudere met verschillende aandoeningen tegelijk. Vaak gaat het om een combinatie van lichamelijke, psychische en sociale problemen. Een geriater gaat na welke klachten bij het normale ouder worden horen en welke niet. Na onderzoek stelt deze een behandeling voor."
69,Wat is het doel van revalidatie voor kankerpatiënten?,Het doel van revalidatie is om klachten die tijdens en na de behandeling optreden te verminderen of te voorkomen.,"Slokdarmkanker, PIM --- 6. Oncologische revalidatie --- 6.1 Algemeen Veel patiënten met kanker kampen tijdens en na de behandeling met klachten zoals vermoeidheid, conditieverlies, pijn, emotionele instabiliteit en depressie. Revalidatie kan een groot deel van de (ex-) kankerpatiënten helpen om de gevolgen van ziekte en behandelingen boven te komen. In recente Nederlandse studies is aangetoond dat kankerpatiënten met revalidatie een betere kwaliteit van leven hebben dan patiënten die niet revalideren. Afhankelijk van uw situatie en hulpvraag zijn allerlei therapiecombinaties mogelijk, onder meer: 
- Training onder begeleiding van een fysiotherapeut. Zo verbetert u uw conditie en spierkracht. Een trainingsprogramma is vaak een combinatie van kracht en conditietraining. Soms aangevuld met sport en spel. 
- Praten met een psycholoog of maatschappelijk werker is soms een mogelijkheid. Als u psychisch meer weerstand opbouwt, kunt u het dagelijks leven beter aan. Ook als u heel erg vermoeid blijft helpen zij u verder. 
- Een bezoek aan een diëtiste die u voedingstips geeft om weer op krachten te komen. Voor bovenbeschreven therapieën kunt u binnen het ziekenhuis terecht. Als er sprake is van meervoudige en/of complexe problematiek dan is behandeling onder begeleiding van een revalidatiearts nodig. U kunt zowel zelfstandig als in een groep revalideren. Revalideren is mogelijk tijdens de behandeling en daarna. Ook als u niet meer kunt genezen kan revalidatie zin hebben. Revalidatie is er op gericht op klachten tijdens de verschillende fasen van het ziekteproces te voorkomen of te verminderen. In het programma wordt gewerkt aan het opnieuw vertrouwd raken met het eigen lichaam, het ontdekken van bewegingsmogelijkheden, (arbeids)re- integratiemogelijkheden en het verwerken van het ziekteproces, onder andere door lotgenotencontact. Afhankelijk van uw situatie kunt u te maken krijgen met een revalidatiearts, fysiotherapeut, ergotherapeut, psycholoog, maatschappelijk werker en logopedist. Bespreek met uw arts, verpleegkundig specialist of oncologieverpleegkundige waar u klachten van heeft en welke ondersteuning u zou willen. Ze geven u advies en kunnen u verwijzen naar een zorgverlener of revalidatieprogramma. 6.2 Fysieke training - ZGT In het ZGT bestaat de mogelijkheid op individueel niveau of in groepsverband een fysiek trainingsprogramma te volgen met als doel uw lichamelijke conditie te verbeteren. Meer informatie ZGT ziekenhuislocatie Almelo Afdeling fysiotherapie: telefoon 088 708 3210 ZGT ziekenhuislocatie Hengelo Afdeling fysiotherapie: telefoon 088 708 5200"
70,Waar kan ik terecht voor de therapieën binnen het ziekenhuis?,Voor de therapieën binnen het ziekenhuis kunt u terecht bij het revalidatiecentrum Roessingh of bij Ziekenhuisgroep Twente.,"Uitgezaaid melanoom, PIM --- Oncologische revalidatie --- Revalideren bij kanker noemen we ook wel oncologische revalidatie. . Revalidatie is erop gericht klachten tijdens de verschillende fasen van het ziekteproces te voorkomen of te verminderen. Afhankelijk van uw situatie en hulpvraag zijn allerlei therapiecombinaties mogelijk, onder meer: 
- Training onder begeleiding van een fysiotherapeut. Zo verbetert u uw conditie en spierkracht. Een trainingsprogramma is vaak een combinatie van kracht en conditietraining. Soms aangevuld met sport en spel. 
- Praten met een psycholoog of maatschappelijk werker is soms een mogelijkheid. Als u psychisch meer weerstand opbouwt, kunt u het dagelijks leven beter aan. Ook als u heel erg vermoeid blijft helpen zij u verder. 
- Een bezoek aan een diëtiste die u voedingstips geeft om weer op krachten te komen. Voor bovenbeschreven therapieën kunt u binnen het ziekenhuis terecht. Als er sprake is van complexe problematiek en behandeling onder begeleiding van een revalidatie-arts nodig is dan kunt u terecht bij het revalidatiecentrum Roessingh of bij Ziekenhuisgroep Twente. U kunt zowel zelfstandig als in een groep revalideren. Revalideren is mogelijk tijdens de behandeling en daarna. Ook als u niet meer kunt genezen heeft revalidatie zin. Bespreek met uw arts of oncologie verpleegkundige / casemanager waar u last van heeft en welke ondersteuning u wilt. Ze geven u advies en kunnen u verwijzen naar een zorgverlener of revalidatieprogramma."
